ID,Site,Year,Day,Hour,Dive Count
HC01,Harrison Cove,2019,1,6,16
HC01,Harrison Cove,2019,1,7,29
HC01,Harrison Cove,2019,1,8,41
HC01,Harrison Cove,2019,1,9,63
HC01,Harrison Cove,2019,1,10,23
HC01,Harrison Cove,2019,1,11,17
HC01,Harrison Cove,2019,1,12,2
HC01,Harrison Cove,2019,1,12,17
HC01,Harrison Cove,2019,1,13,18
HC01,Harrison Cove,2019,1,14,20
HC01,Harrison Cove,2019,1,15,19
HC01,Harrison Cove,2019,1,16,18
HC01,Harrison Cove,2019,1,17,31
HC01,Harrison Cove,2019,1,18,19
HC01,Harrison Cove,2019,1,19,38
HC01,Harrison Cove,2019,1,20,26
HC01,Harrison Cove,2019,2,2,1
HC01,Harrison Cove,2019,2,6,24
HC01,Harrison Cove,2019,2,7,27
HC01,Harrison Cove,2019,2,8,18
HC01,Harrison Cove,2019,2,9,19
HC01,Harrison Cove,2019,2,10,20
HC01,Harrison Cove,2019,2,11,18
HC01,Harrison Cove,2019,2,12,20
HC01,Harrison Cove,2019,2,13,24
HC01,Harrison Cove,2019,2,14,23
HC01,Harrison Cove,2019,2,15,23
HC01,Harrison Cove,2019,2,16,33
HC01,Harrison Cove,2019,2,17,28
HC01,Harrison Cove,2019,2,18,29
HC01,Harrison Cove,2019,2,19,72
HC01,Harrison Cove,2019,2,20,103
HC01,Harrison Cove,2019,2,21,65
HC01,Harrison Cove,2019,2,22,74
HC01,Harrison Cove,2019,2,24,2
HC01,Harrison Cove,2019,3,6,26
HC01,Harrison Cove,2019,3,7,34
HC01,Harrison Cove,2019,3,8,32
HC01,Harrison Cove,2019,3,9,98
HC01,Harrison Cove,2019,3,10,9
HC01,Harrison Cove,2019,3,11,32
HC01,Harrison Cove,2019,3,12,33
HC01,Harrison Cove,2019,3,13,28
HC01,Harrison Cove,2019,3,14,19
HC01,Harrison Cove,2019,3,15,20
HC01,Harrison Cove,2019,3,16,21
HC01,Harrison Cove,2019,3,17,27
HC01,Harrison Cove,2019,3,18,26
HC01,Harrison Cove,2019,3,19,33
HC01,Harrison Cove,2019,3,20,45
HC01,Harrison Cove,2019,3,23,3
HC01,Harrison Cove,2019,4,6,37
HC01,Harrison Cove,2019,4,7,67
HC01,Harrison Cove,2019,4,8,71
HC01,Harrison Cove,2019,4,9,57
HC01,Harrison Cove,2019,4,10,51
HC01,Harrison Cove,2019,4,11,51
HC01,Harrison Cove,2019,4,12,36
HC01,Harrison Cove,2019,4,13,38
HC01,Harrison Cove,2019,4,14,28
HC01,Harrison Cove,2019,4,15,22
HC01,Harrison Cove,2019,4,16,24
HC01,Harrison Cove,2019,4,17,44
HC01,Harrison Cove,2019,4,18,60
HC01,Harrison Cove,2019,4,19,62
HC01,Harrison Cove,2019,4,20,82
HC01,Harrison Cove,2019,4,21,29
HC762,Harrison Cove,2019,1,6,5
HC762,Harrison Cove,2019,1,7,21
HC762,Harrison Cove,2019,1,8,56
HC762,Harrison Cove,2019,1,9,70
HC762,Harrison Cove,2019,1,10,40
HC762,Harrison Cove,2019,1,11,45
HC762,Harrison Cove,2019,1,12,45
HC762,Harrison Cove,2019,1,13,49
HC762,Harrison Cove,2019,1,14,56
HC762,Harrison Cove,2019,1,15,40
HC762,Harrison Cove,2019,1,16,39
HC762,Harrison Cove,2019,1,17,66
HC762,Harrison Cove,2019,1,18,50
HC762,Harrison Cove,2019,1,19,43
