birdID,Trip,Obs,Colony,Year,Type,Dives,Cumul.dist,Seg.Speed,Max.dist,Duration
HC71,1,1,Harrison Cove,2020,short,591,21,0.98,4.65,12.5
HC75,1,2,Harrison Cove,2020,short,50,6,0.839,2.92,3
HC75,2,3,Harrison Cove,2020,short,325,31,0.864,5.05,11
HC75,3,4,Harrison Cove,2020,short,375,27,0.835,4.64,11
HC75,4,5,Harrison Cove,2020,short,295,22,0.833,3.99,13
HC76,1,6,Harrison Cove,2020,short,188,11,1.497,4.46,4
HC76,2,7,Harrison Cove,2020,short,450,9,1.107,3.99,7.5
HC81,1,8,Harrison Cove,2020,long,890,7,0.763,3.59,6.5
HC81,2,9,Harrison Cove,2020,short,352,11,0.57,3.45,14.5
HC81,3,10,Harrison Cove,2020,short,293,14,0.73,3.25,7.5
HC79,1,12,Harrison Cove,2020,short,583,23,0.727,8.88,14
HC79,2,13,Harrison Cove,2020,short,347,20,0.688,4.06,7.5
HC83,1,14,Harrison Cove,2020,short,410,40,0.739,29.47,16
HC83,2,15,Harrison Cove,2020,short,375,44,0.73,29.9,14
HC92,1,16,Harrison Cove,2020,short,890,18,0.64,4.32,23
HC92,2,17,Harrison Cove,2020,short,491,11,1.109,4.84,11
HC93,1,18,Harrison Cove,2020,short,771,10,0.769,4.37,11
HC93,2,19,Harrison Cove,2020,short,227,9,0.907,3.52,4
MO06,1,20,Moraine,2020,short,475,51.8,0.949,19.63,15
MO06,2,21,Moraine,2020,short,598,22.2,0.645,3.25,13
MO10,1,22,Moraine,2020,short,395,55,0.722,14.25,18
MO10,2,23,Moraine,2020,short,378,50,0.697,17.29,17
MO10,3,24,Moraine,2020,short,342,48,0.736,14.63,18
MO10,4,25,Moraine,2020,short,453,54,0.851,22.47,18.5
MO10,5,26,Moraine,2020,short,464,48,0.657,14.34,18
MO10,6,27,Moraine,2020,short,405,56,0.754,17.76,18
MO13,1,28,Moraine,2020,short,601,43,0.86,14.17,14.5
MO14,1,29,Moraine,2020,long,759,93,0.725,34.02,37
MO20,1,30,Moraine,2020,long,899,113.9,1.017,46.36,37
MO20,2,31,Moraine,2020,long,671,79.6,0.936,31.29,32
MO20,3,32,Moraine,2020,long,1191,130,0.928,46.01,51
MO02,1,33,Moraine,2019,long,1238,73,0.883,33.38,32
MO04,1,34,Moraine,2019,short,797,34.9,0.833,13.41,13
MO05,1,35,Moraine,2019,short,553,50,0.95,22.13,14
MO05,2,36,Moraine,2019,long,1006,113.9,0.923,50.5,65
MO062,1,37,Moraine,2019,long,1179,69.8,0.897,27.27,39
MO08,1,38,Moraine,2019,short,1480,65.3,1.129,27.79,14
MO102,1,40,Moraine,2019,long,1272,121.6,0.985,39.39,46
HC01,1,41,Harrison Cove,2019,long,1018,103.3,1.057,39.39,40
HC01,2,42,Harrison Cove,2019,short,1245,96.5,1.015,45.78,17.5
HC882,1,43,Harrison Cove,2019,long,1035,99.6,1.016,46.54,38
HC792,1,44,Harrison Cove,2019,short,737,47.6,0.72,8.24,14
HC762,1,47,Harrison Cove,2019,short,670,17.2,1.23,7.98,14
