Amount(mm),Rain,Year
10/09/2020,40.7,2020
11/09/2020,0,2020
12/09/2020,0,2020
13/09/2020,24,2020
14/09/2020,226.2,2020
15/09/2020,84.5,2020
16/09/2020,20.8,2020
17/09/2020,87.3,2020
18/09/2020,30.6,2020
19/09/2020,8.6,2020
20/09/2020,0,2020
21/09/2020,0,2020
22/09/2020,0.5,2020
23/09/2020,115.1,2020
24/09/2020,17.7,2020
25/09/2020,64.7,2020
26/09/2020,33.3,2020
27/09/2020,111.9,2020
28/09/2020,30.4,2020
29/09/2020,3.9,2020
30/09/2020,0,2020
1/10/2020,0,2020
2/10/2020,0.1,2020
3/10/2020,23.3,2020
4/10/2020,76.4,2020
5/10/2020,2.8,2020
6/10/2020,104.1,2020
7/10/2020,1.9,2020
8/10/2020,1,2020
9/10/2020,0.1,2020
10/10/2020,0.4,2020
11/10/2020,72.3,2020
12/10/2020,53.6,2020
13/10/2020,0.1,2020
14/10/2020,19.6,2020
15/10/2020,0,2020
10/09/2019,0,2019
11/09/2019,0.3,2019
12/09/2019,6.6,2019
13/09/2019,109.6,2019
14/09/2019,0.2,2019
15/09/2019,0,2019
16/09/2019,21.2,2019
17/09/2019,44.1,2019
18/09/2019,4.4,2019
19/09/2019,1.9,2019
20/09/2019,0.1,2019
21/09/2019,0,2019
22/09/2019,0,2019
23/09/2019,30.2,2019
24/09/2019,15.3,2019
25/09/2019,11.8,2019
26/09/2019,7.5,2019
27/09/2019,13.3,2019
28/09/2019,58.5,2019
29/09/2019,64.2,2019
30/09/2019,14.6,2019
1/10/2019,1.2,2019
2/10/2019,13.5,2019
3/10/2019,0,2019
4/10/2019,0,2019
5/10/2019,53.8,2019
6/10/2019,0,2019
7/10/2019,0,2019
8/10/2019,32.4,2019
9/10/2019,12.7,2019
10/10/2019,115.9,2019
11/10/2019,0.6,2019
12/10/2019,0.8,2019
13/10/2019,3,2019
14/10/2019,4.1,2019
15/10/2019,0,2019
